imo,vessel_name,tanker_size,build_year,flag,ship_manager,registered_owner,ism_manager,list_source
9328170,Aether,Aframax,2007,Unknown,UAE. Zulu Ships Management,UAE. Wrasse Ship Co,UAE. Zulu Ships Management,new_crude_2025
9282481,Tagor,Aframax,2005,Unknown,UAE. Zulu Ships Management,UAE. Blaire Charters Ltd,UAE. Tarabya Logistics Ltd,new_crude_2025
9236248,Phoenix I,Aframax,2002,Comoros,UAE. Triviality Shipping Llc,UAE. Celestial Overseas Co Ltd,UAE. Triviality Shipping Llc,new_crude_2025
9439383,Bhilva,Aframax,2010,Panama,Seychelles. Tika Shipping Ltd,Seychelles. Tika Shipping Ltd,China. Song Hua Jiang Shipmanagement,new_crude_2025
9311610,Torx,Suezmax,2006,Panama,Seychelles. Shiva Shipping Ltd,Seychelles. Shiva Shipping Ltd,Singapore. Crest Maritime Pte Ltd,new_crude_2025
9472634,Aura 1,Aframax,2011,Panama,Seychelles. Dava Shipping Ltd,Seychelles. Dava Shipping Ltd,China. Heng Shan Shipmanagement Co,new_crude_2025
9460564,Balu 6,Aframax,2011,Panama,Mauritius. Toila Shipping Ltd,Mauritius. Toila Shipping Ltd,China. Heng Shan Shipmanagement Co,new_crude_2025
9419450,Jewel,Aframax,2010,Panama,Mauritius. Maluga Shipping Ltd,Mauritius. Maluga Shipping Ltd,China. Gao You Hu Shipmanagement Co,new_crude_2025
9299707,Guanyin,Aframax,2005,Liberia,Marshall Islands. Silver Tetra Marine Co,Marshall Islands. Silver Tetra Marine Co,UAE. Tarabya Logistics Ltd,new_crude_2025
9296377,Marjorie,Suezmax,2006,Barbados,Marshall Islands. Pyramid Ventures Co,Marshall Islands. Pyramid Ventures Co,India. Aaruthra Marine Pvt Ltd,new_crude_2025
9224453,Tracos,Suezmax,2002,Panama,Marshall Islands. Mars Navigation Sa,Marshall Islands. Mars Navigation Sa,India. Bright Marine Solutions Co,new_crude_2025
9408542,Ling Hong,Aframax,2008,Panama,Marshall Islands. Linghong Shipping Ltd,Marshall Islands. Linghong Shipping Ltd,China. Anmei Ships Co Ltd,new_crude_2025
9408190,Samos,Suezmax,2009,Unknown,Liberia. Samos Group Ltd,Liberia. Samos Group Ltd,UAE. Zulu Ships Management,new_crude_2025
9439539,Bolu,Aframax,2009,Unknown,Liberia. Bolu Group Ltd,Liberia. Bolu Group Ltd,UAE. Zulu Ships Management,new_crude_2025
9436020,Centurion I,Aframax,2010,Panama,India. Gacrux Maritime Pvt Ltd,India. Anand Shipping Ltd-Sey,India. Gacrux Maritime Pvt Ltd,new_crude_2025
9213296,Telesto,Aframax,2001,Barbados,India. Blue Wave Maritime,India. Mimas Marine Ltd,India. Blue Wave Maritime,new_crude_2025
9297541,Alaric,Aframax,2006,Panama,China. Zhu Jiang Shipmanagement Co,China. Plume Shipping Ltd,China. Zhu Jiang Shipmanagement Co,new_crude_2025
9412452,Nilanga,Aframax,2010,Panama,China. Wei Hai Yuan Jing Ship,Seychelles. Elodie Shipping Ltd,China. Wei Hai Yuan Jing Ship,new_crude_2025
9384564,Searun,Aframax,2008,"Hong Kong, China",China. Searun Shipping Co Ltd,China. Searun Shipping Co Ltd,China. Searun Shipping Co Ltd,new_crude_2025
9358412,Tiger Wings,Aframax,2008,Panama,China. Infinite Blue Maritime Ltd,China. Ruihua Shipping Co Ltd,China. Infinite Blue Maritime Ltd,new_crude_2025
9408683,Zhuo Yuan,Suezmax,2009,Panama,China. Hongkong Dingzhou Ship Co Ltd,China. Zhuoyuan Shipping Ltd,China. Hongkong Dingzhou Ship Co Ltd,new_crude_2025
9389071,Tango 2,Aframax,2009,Panama,China. Gui Zhou Fa Zhan Ship,China. Kosha Shipping Ltd,China. Wu Gong Shan Shipmanagement Co,new_crude_2025
9389083,Tiger 6,Aframax,2009,Panama,China. Can Day Shipmanagement Co Ltd,China. Nysa Maritime Inc,China. Gu Yu Shipmanagement Co Ltd,new_crude_2025
9402328,Sara Sky,Aframax,2010,"Hong Kong, China",China. Benefit Shipping Ltd-Hkg,China. Lirun Shipping Co Ltd,China. Benefit Shipping Ltd-Hkg,new_crude_2025
9337341,Oceanid,Aframax,2008,Panama,China. Aura Vibes Co Ltd,China. Aura Vibes Co Ltd,China. Aura Vibes Co Ltd,new_crude_2025
9233777,Ocean Ii,Suezmax,2003,Antigua and Barbuda,Antigua & Barbuda. Nauticraft Ventures Ltd,Antigua & Barbuda. Nauticraft Ventures Ltd,China. Ruiyuan Shipping Ltd,new_crude_2025
9821469,Lachin,Handysize,2020,Azerbaijan,Azerbaijan. Azerbaijan Caspian Shipping,Azerbaijan. Azerbaijan Caspian Shipping,Azerbaijan. Azerbaijan Caspian Shipping,new_product_2025
9274525,Lxh,Suezmax,2004,Panama,China. China Overseas Energy Develop,China. China Overseas Energy Develop,China. Built Found Shipmanagement Co,new_product_2025
